,Process,Accepted,Inclusion_Rate,Adaptation_Rate,Cost,Frequency,Purchased,Rides,Ending_Position,Starting_Position,Value
223,Application Implementation Group,0,70,83,230.128,616,662.85,31.5,"[40.73992157, -73.99156189]","[40.73961639, -73.99256897]",30
224,Application Implementation Group,0,48,30,218.016,844,959.6,33,"[40.75033951, -73.99134064]","[40.72114182, -74.00994873]",39
225,Application Implementation Group,1,70,38,242.24,33,699.4,40.5,"[40.75862885, -73.97688293]","[40.77143478, -73.95632935]",28
226,Application Implementation Group,1,51,94,181.68,439,353.75,17,"[40.79938507, -73.93881226]","[40.74959183, -73.97737122]",39
227,Application Implementation Group,1,48,93,121.12,296,959.3,2.5,"[40.75611877, -73.99060059]","[40.75381088, -73.98825836]",33
228,Application Implementation Group,0,59,64,532.928,796,51.95,8.5,"[40.75888824, -73.98856354]","[40.746521, -73.97254944]",48
229,Application Implementation Office,0,11,81,72.672,871,66.85,26,"[40.76723862, -73.95349121]","[40.73803711, -73.9962616]",43
230,Application Implementation Office,1,43,93,72.672,778,649.25,12,"[40.77035904, -73.87529755]","[40.75571823, -73.9729538]",27
231,Application Implementation Office,0,89,81,169.568,679,644.1,39,"[40.71507263, -74.00948334]","[40.74409103, -73.99575043]",60
232,Application Implementation Office,0,81,63,205.904,214,122.2,3,"[40.72790527, -73.99918365]","[40.782444, -73.98064423]",39
233,Application Implementation Office,1,24,19,60.56,117,243.45,15,"[40.76766586, -73.98075104]","[40.74716568, -73.98508453]",42
234,Application Implementation Office,1,32,6,387.584,13,221.65,25,"[40.75947571, -73.98134613]","[40.71509171, -74.01598358]",53
235,Application Implementation Office,0,61,14,290.688,83,14.65,30.5,"[40.71667862, -73.94447327]","[40.74522018, -74.00592804]",24
236,Application Implementation Office,1,21,42,84.784,340,362.4,29.5,"[40.7385025, -73.99201202]","[40.78488159, -73.97921753]",42
237,Application Implementation Office,1,76,51,460.256,648,453.05,22,"[40.76633835, -73.96105194]","[40.74491882, -74.00614929]",37
238,Application Implementation Office,0,10,82,218.016,191,541.15,44,"[40.72169876, -73.98896027]","[40.7063179, -74.01686096]",20
239,Application Implementation Office,0,19,42,436.032,503,199.85,12,"[40.73404312, -73.98986053]","[40.64476013, -73.78192139]",23
240,Application Implementation Office,0,67,22,387.584,681,494.75,45,"[40.71603775, -74.01580811]","[40.72050095, -73.99694824]",25
241,Application Implementation Office,0,40,47,363.36,184,778.7,10,"[40.65415955, -73.88738251]","[40.68672943, -73.99602509]",44
242,Application Implementation Office,0,45,50,109.008,710,497.1,17,"[40.71976471, -73.99317169]","[40.72050095, -73.99694824]",28
243,Application Implementation Office,0,0,46,157.456,311,691.2,4,"[40.7603035, -73.98752594]","[40.71849823, -73.99484253]",26
244,Application Implementation Office,0,41,28,290.688,267,306.2,2.5,"[40.7671814, -73.95420074]","[40.77806854, -73.95440674]",37
245,Application Implementation Office,0,34,35,230.128,487,969.2,4.5,"[40.77605057, -73.95585632]","[40.71217346, -73.96391296]",27
246,Application Implementation Office,1,66,65,387.584,559,851.85,5,"[40.75545883, -73.97733307]","[40.79247284, -73.94605255]",50
247,Application Implementation Office,0,78,0,508.704,381,456.55,5,"[40.78512955, -73.95369720000001]","[40.73940659, -74.00189972]",51
248,Application Implementation Office,1,86,48,314.912,63,16.2,36,"[40.80493164, -73.96251678]","[40.67956543, -73.98455048]",58
249,Application Implementation Office,1,45,98,181.68,832,803.8,8.5,"[40.72052383, -74.32032776]","[40.7342186, -73.99903107]",21
250,Application Implementation Office,1,61,14,508.704,467,632.95,34.5,"[40.70491791, -74.0172348]","[40.71913147, -74.00708771]",43
251,Application Implementation Office,0,16,96,218.016,831,821.7,44,"[40.75033951, -73.99134064]","[40.77611923, -73.9796524]",24
252,Application Implementation Office,1,27,56,496.592,578,38.5,3.5,"[40.74251938, -73.99954987]","[40.75527954, -73.98404694]",21
253,Application Implementation Office,0,56,34,218.016,885,512,4.5,"[40.74279022, -74.0041275]","[40.75969315, -73.96589661]",55
254,Application Implementation Office,1,95,30,96.896,64,157.6,43,"[40.80493164, -73.96251678]","[40.77168655, -73.98213959]",49
255,Application Implementation Office,0,16,43,266.464,183,381.85,22.5,"[40.76155853, -73.97261047]","[40.71913147, -74.00708771]",26
256,Application Implementation Office,0,85,97,36.336,720,756,12,"[40.72859192, -73.99854279]","[40.73439789, -73.98963928]",46
257,Application Implementation Office,0,34,23,460.256,128,686.55,40,"[40.77605057, -73.95585632]","[40.74451065, -73.98545074]",43
258,Application Implementation Office,1,63,34,48.448,644,646.9,24,"[40.84777069, -73.93649292]","[40.73876572, -74.00558472]",47
259,Application Implementation Office,1,76,87,193.792,874,774.45,33.5,"[40.76055527, -73.97976685]","[40.78459167, -73.96990967]",24
260,Application Implementation Office,1,75,49,266.464,264,127.3,43,"[0.0, 0.0]","[40.75032806, -73.97471619]",37
261,Application Implementation Office,1,72,62,218.016,457,194.2,27.5,"[40.71485901, -74.01133728]","[40.75148392, -73.93431854]",55
262,Application Implementation Office,1,41,42,363.36,340,269.5,20.5,"[40.74300766, -73.89084625]","[40.74909973, -73.97567749]",24
263,Application Implementation Office,1,60,89,133.232,118,100.75,28.5,"[40.72632599, -73.93797302]","[40.79120636, -73.96520996]",54
264,Application Implementation Office,0,52,16,520.816,242,735.5,1.5,"[40.73268127, -73.98566437]","[40.70887375, -74.01099396]",55
265,Application Implementation Office,0,19,14,496.592,552,900.1,35,"[40.76816177, -73.96286011]","[40.77317429, -73.95517731]",33
266,Application Implementation Office,0,19,84,302.8,588,680.5,7,"[40.74861145, -73.97830963]","[40.73525238, -73.98988342]",36
267,Application Implementation Office,1,28,14,363.36,579,437.5,22,"[40.72790527, -73.99918365]","[40.73876572, -74.00558472]",37
268,Application Implementation Office,0,75,17,157.456,436,577.35,19.5,"[40.76261902, -73.95702362]","[40.73115158, -74.00284576]",48
269,Application Implementation Office,0,43,76,484.48,421,0.5,6.5,"[40.69827652, -73.96121216]","[40.74240875, -73.98387146]",27
270,Application Implementation Office,0,54,10,84.784,514,550.05,6,"[40.76491547, -73.97251129]","[40.74432373, -73.98726654]",58
271,Application Implementation Office,0,11,86,508.704,833,116.5,38.5,"[40.74606323, -73.99642181]","[40.78190994, -73.95574188]",45
272,Application Implementation Office,1,22,90,520.816,249,980.85,4.5,"[40.72399521, -73.99676514]","[40.79764175, -73.97100067]",21
273,Application Implementation Office,0,45,43,48.448,629,48.45,1.5,"[40.84777069, -73.93649292]","[40.77176285, -73.94954681]",28
274,Application Implementation Office,0,89,22,460.256,341,990,35.5,"[40.76815033, -73.95645142]","[40.75148392, -73.93431854]",56
275,Application Implementation Office,1,10,49,36.336,391,805.15,42,"[40.74558258, -73.99375916]","[40.75032806, -73.97471619]",23
276,Application Implementation Office,0,10,92,60.56,528,200.4,32.5,"[40.77203369, -73.94992065]","[40.75730515, -73.98999023]",58
277,Application Implementation Office,1,80,3,133.232,597,729.6,25,"[40.7358551, -74.00152588]","[40.72400284, -73.99771118]",43
278,Application Implementation Office,1,24,50,278.576,584,304.9,27,"[40.71913147, -74.00527191]","[40.80129242, -73.95974731]",24
279,Application Implementation Office,1,65,70,24.224,636,565.05,26,"[40.71976471, -73.99317169]","[40.71841049, -74.01052094]",52
280,Application Implementation Office,1,46,88,24.224,54,530.9,41.5,"[40.74521637, -73.98146057]","[40.75483322, -73.98426056]",45
281,Application Implementation Office,0,46,85,290.688,470,409.65,33,"[40.74871063, -73.96938324]","[40.80129242, -73.95974731]",21
282,Application Implementation Office,1,97,65,351.248,367,856.15,7,"[40.64691162, -73.78704834]","[40.76895142, -73.98516083]",35
283,Application Implementation Office,1,0,81,411.808,623,465.9,13,"[40.60917664, -73.99208832]","[40.77806854, -73.95440674]",23
284,Application Implementation Office,1,72,41,205.904,619,468.45,5,"[40.73240662, -73.98184204]","[40.75455856, -73.99165344]",55
285,Application Implementation Process,1,62,61,72.672,187,901.4,45,"[40.75764084, -73.96361542]","[40.78488159, -73.97921753]",41
286,Application Implementation Process,1,36,77,532.928,626,342.85,22.5,"[40.74729156, -73.99324036]","[40.77649689, -73.95264435]",34
287,Application Implementation Process,1,50,40,145.344,357,668.1,16,"[40.78512955, -73.95369720000001]","[40.7492485, -73.99176025]",24
288,Application Implementation Process,1,24,59,218.016,883,608.8,10.5,"[40.77605057, -73.95585632]","[40.80437851, -73.95522308]",29
289,Application Implementation Process,0,66,18,145.344,342,607.05,10.5,"[40.72943497, -73.98983765]","[40.77607727, -73.9622345]",54
290,Application Implementation Process,0,10,74,532.928,352,626.65,25,"[40.75789261, -73.97076416]","[40.74243927, -73.99676514]",54
291,Application Implementation Process,0,51,42,60.56,437,717.45,17,"[40.74642181, -73.9728775]","[40.71966934, -73.99803162]",53
292,Application Implementation Process,1,74,15,242.24,102,460.9,39.5,"[40.74300766, -73.89084625]","[40.76850891, -73.96987152]",29
293,Application Implementation Process,0,98,100,254.352,866,122.1,43,"[40.72420883, -74.00101471]","[40.75115204, -73.94010925]",31
294,Application Implementation Process,0,95,60,72.672,883,566.1,8,"[40.74135971, -73.98916626]","[40.77501678, -73.96305847]",35
295,Application Implementation Process,1,34,38,193.792,234,534.85,29,"[40.75553894, -73.97975159]","[40.7562561, -73.99021912]",27
296,Application Implementation Process,1,9,45,411.808,486,172.9,14,"[40.71446991, -74.01582336]","[40.71217346, -73.96391296]",54
297,Application Implementation Process,0,7,87,205.904,283,586.85,17,"[40.7603035, -73.98752594]","[40.75228119, -73.97776031]",40
298,Application Implementation Process,1,98,3,96.896,667,911.2,6.5,"[40.74216461, -74.00228882]","[40.79672623, -73.96103668]",32
299,Application Implementation Process,0,95,97,145.344,653,870.85,21.5,"[40.72577667, -73.98368073]","[40.76873016, -73.86269379]",58
300,Application Implementation Process,1,56,64,133.232,442,582.5,17,"[0.0, 0.0]","[40.74409103, -73.99575043]",57
301,Application Implementation Process,1,56,34,169.568,477,944.9,8.5,"[40.82293320000001, -73.95064545]","[40.75671387, -73.99394226]",33
302,Application Implementation Process,0,98,39,484.48,699,52.9,27.5,"[40.75101852, -73.97103119]","[40.75770187, -73.98223877]",25
303,Application Implementation Process,0,59,78,242.24,777,493.25,1.5,"[40.76766586, -73.98075104]","[40.73516083, -73.97987366]",46
304,Application Implementation Process,1,55,34,36.336,296,209.45,12,"[40.76241302, -73.96797943]","[40.82948303, -73.94184875]",20
305,Application Implementation Process,1,8,18,423.92,503,426,42.5,"[40.76251984, -73.97697449]","[40.73095322, -73.98578644]",29
306,Application Implementation Process,1,83,33,254.352,261,33.3,26,"[40.78987122, -73.966362]","[40.78263092, -73.94828033]",50
307,Application Implementation Process,1,46,69,484.48,305,985.15,2.5,"[40.73464584, -73.98852539]","[40.77375412, -73.87276459]",50
308,Application Implementation Process,1,54,53,472.368,36,653.4,9.5,"[40.70992661, -74.00960541]","[40.71849823, -73.99484253]",40
309,Application Implementation Process,1,44,26,532.928,865,754.1,9,"[40.71913147, -74.00527191]","[40.77168655, -73.98213959]",50
310,Application Implementation Process,1,44,98,496.592,308,602.35,35.5,"[40.71603775, -74.01580811]","[40.79573059, -73.97415924]",52
311,Application Implementation Process,0,71,71,84.784,153,344.1,6.5,"[40.76055527, -73.97976685]","[40.729911799999996, -73.98078156]",55
312,Application Implementation Process,0,31,83,84.784,796,80.25,15.5,"[40.81517029, -73.94747925]","[40.75481796, -73.99557495]",25
313,Application Implementation Process,0,70,86,375.472,809,390.55,8.5,"[40.77881241, -73.95994568]","[40.75228119, -73.97776031]",34
314,Application Implementation Process,1,41,37,375.472,878,804.45,30.5,"[40.72151566, -73.98368835]","[40.72471619, -73.98733521]",25
315,Application Implementation Process,0,17,47,254.352,102,343.5,3,"[40.75371552, -73.98148346]","[40.77487946, -73.98215485]",34
316,Application Implementation Process,0,70,47,387.584,165,511.85,5.5,"[40.74642181, -73.9728775]","[40.72114182, -74.00994873]",37
317,Application Implementation Process,0,59,75,36.336,37,370.75,3,"[40.76834869, -73.95544434]","[40.72389221, -73.99133301]",50
318,Application Implementation Process,1,68,79,399.696,654,922.95,34.5,"[40.70281219, -73.90223694]","[40.75831604, -73.97743225]",47
319,Application Implementation Process,1,63,48,314.912,127,839.95,36.5,"[40.71789551, -74.01550293]","[40.75052643, -73.99082947]",28
320,Application Implementation Process,0,48,92,24.224,755,606.85,29.5,"[40.85139084, -73.94156647]","[40.7492485, -73.99176025]",32
321,Application Implementation Process,1,54,22,193.792,654,650.9,30,"[40.72169876, -73.98896027]","[40.78523636, -73.96937561]",23
322,Application Implementation Process,1,92,39,36.336,8,88.4,38.5,"[40.78598404, -73.94567108]","[40.77873993, -73.95822906]",45
323,Application Implementation Process,1,81,27,84.784,500,662.9,41,"[40.777980799999995, -73.94556427]","[40.76723862, -73.98442078]",20
324,Application Implementation Process,1,67,35,205.904,343,726.55,6,"[40.75894165, -73.91217041]","[40.76317978, -73.97831726]",47
325,Application Implementation Process,0,93,90,472.368,291,336.25,5.5,"[40.74520874, -73.99134827]","[40.76818085, -73.98413849]",21
326,Application Implementation Process,1,55,46,423.92,325,467.2,24,"[40.71059418, -73.98657227]","[40.782444, -73.98064423]",48
327,Application Implementation Process,0,1,72,36.336,759,492.5,19.5,"[40.75725174, -73.96369934]","[40.7715683, -73.95090485]",30
328,Application Implementation Process,0,28,88,84.784,837,166.1,18.5,"[40.75545883, -73.97733307]","[40.77203751, -73.94992828]",25
329,Application Implementation Process,1,79,18,508.704,514,394.65,21.5,"[40.78369141, -73.97364807]","[40.63657379, -73.89412689]",35
330,Application Implementation Process,0,99,27,411.808,874,748,6.5,"[40.75553131, -73.96790314]","[40.746521, -73.97254944]",59
331,Application Implementation Process,0,93,60,254.352,144,268.85,28.5,"[40.71446991, -74.01582336]","[40.75120163, -73.99398041]",55
332,Application Implementation Process,0,9,53,290.688,576,428.5,39.5,"[40.70816803, -74.00337219]","[40.73095322, -73.98578644]",38
333,Application Implementation Process,0,99,33,423.92,253,353,8,"[40.73916626, -73.97684479]","[40.74929047, -73.99230194]",22
334,Application Implementation Process,1,44,90,24.224,784,60.15,37,"[40.73916626, -73.97684479]","[40.76222229, -73.96617889]",44
335,Application Implementation Process,0,73,97,193.792,22,459.25,12,"[40.76314163, -73.91349029999999]","[40.78461838, -73.94969177]",24
336,Application Implementation Process,1,48,9,387.584,866,806.15,16,"[40.75147247, -74.00363159]","[40.72050095, -73.99694824]",28
337,Application Implementation Process,0,91,57,327.024,792,928.6,21,"[40.75834274, -73.96240997]","[40.72017288, -73.99906921]",41
338,Application Implementation Process,1,86,36,12.112,597,572.5,12.5,"[40.75273895, -73.9756012]","[40.72153854, -73.9890213]",32
339,Application Implementation Process,0,89,96,314.912,714,540,28.5,"[40.7671814, -73.95420074]","[40.74764252, -73.98362732]",57
340,Application Implementation Process,1,15,38,423.92,631,353.7,2,"[40.74438858, -73.97486877]","[40.74805832, -73.98428345]",20
341,Application Implementation Process,1,94,71,375.472,229,678.35,27.5,"[40.76977158, -73.99504089]","[40.76694489, -73.95392609]",32
342,Application Implementation Process,1,60,92,169.568,456,103.65,44,"[40.71603775, -74.01580811]","[40.76222229, -73.96617889]",60
343,Application Implementation Process,1,33,16,205.904,27,636.3,14,"[40.74298859, -73.98935699]","[40.74974442, -73.995224]",38
344,Application Implementation Process,0,72,57,230.128,409,502.95,27.5,"[40.72859192, -73.99854279]","[40.77176285, -73.94954681]",21
